Serial No.,College Name,Ranking Agency,Year,Rank
562,William Carey University - [WCU],Overall,2023 Ranking,#41|  out of 171 in  |India 2023
562,William Carey University - [WCU],Overall,2022 Ranking,#34|  out of 161 in  |India 2022
562,William Carey University - [WCU],BCA,2024 Ranking,-
562,William Carey University - [WCU],BCA,2023 Ranking,-
562,William Carey University - [WCU],BCA,2022 Ranking,#80|  out of 100 in  |India 2022|#1st in Meghalaya
563,Career Point University - [CPU],No data found,No data found,No data found
564,SRMIST Delhi NCR Campus,No data found,No data found,No data found
565,"Chhotubhai Gopalbhai Patel Institute of Technology, Uka Tarsadia University - [CGPIT]",B.Tech,2024 Ranking,#215|  out of 245 in  |India 2024|#2nd in Gujarat
565,"Chhotubhai Gopalbhai Patel Institute of Technology, Uka Tarsadia University - [CGPIT]",B.Tech,2022 Ranking,#211|  out of 216 in  |India 2022|#2nd in Gujarat
566,K.S. School of Engineering and Management- [KSSEM],Hotel Management,2023 Ranking,-
566,K.S. School of Engineering and Management- [KSSEM],Hotel Management,2022 Ranking,-
566,K.S. School of Engineering and Management- [KSSEM],Hotel Management,2020 Ranking,#179|  out of 179 in  |India 2020|#20th in Bangalore
566,K.S. School of Engineering and Management- [KSSEM],MBA,2023 Ranking,#192|  out of 193 in  |India 2023|#26th in Bangalore
566,K.S. School of Engineering and Management- [KSSEM],MBA,2022 Ranking,#179|  out of 179 in  |India 2022|#18th in Bangalore
566,K.S. School of Engineering and Management- [KSSEM],MBA,2020 Ranking,#159|  out of 159 in  |India 2020
567,Vivekananda Institute of Technology - [VIT],No data found,No data found,No data found
568,PERI Institute of Technology - [PERIT],B.Tech,2024 Ranking,#66|  out of 175 in  |India 2024|#9th in Chennai
569,Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering and Technology - [VPKBIET] Baramati,B.Tech,2022 Ranking,#236|  out of 238 in  |India 2022
570,Adhiparasakthi College of Engineering Arcot - [APCE],B.Tech,2024 Ranking,#196|  out of 355 in  |Tamil Nadu 2024
571,SRM Institute of Science and Technology Ramapuram Campus,B.Tech,2022 Ranking,#3|  out of 200 in  |India 2022|#1st in Chennai
571,SRM Institute of Science and Technology Ramapuram Campus,B.Tech,2021 Ranking,#3|  out of 196 in  |India 2021|#1st in Chennai
572,St. Andrews Institute of Technology and Management - [SAITM],No data found,No data found,No data found
573,CMR Technical Campus - [CMRTC],Overall,2024 Ranking,-
573,CMR Technical Campus - [CMRTC],Overall,2023 Ranking,#170|  out of 281 in  |India 2023|#18th in Hyderabad
573,CMR Technical Campus - [CMRTC],Overall,2022 Ranking,-
573,CMR Technical Campus - [CMRTC],B.Tech,2024 Ranking,#162|  out of 284 in  |India 2024|#16th in Hyderabad
573,CMR Technical Campus - [CMRTC],B.Tech,2023 Ranking,#138|  out of 246 in  |India 2023
573,CMR Technical Campus - [CMRTC],B.Tech,2022 Ranking,#131|  out of 238 in  |India 2022
574,"SRM, Institute of Technology",No data found,No data found,No data found
575,"University College of Engineering, JNTUK",B.Tech,2024 Ranking,#99|  out of 160 in  |India 2024
575,"University College of Engineering, JNTUK",B.Tech,2023 Ranking,#106|  out of 170 in  |India 2023
575,"University College of Engineering, JNTUK",B.Tech,2022 Ranking,#115|  out of 192 in  |India 2022
576,St.Joseph's Institute of Technology - [SJIT],B.Tech,2024 Ranking,#43|  out of 355 in  |Tamil Nadu 2024
577,Ramco Institute of Technology - [RIT],B.Tech,2024 Ranking,#106|  out of 173 in  |India 2024
577,Ramco Institute of Technology - [RIT],B.Tech,2023 Ranking,#102|  out of 166 in  |India 2023
578,ITM Vocational University - [ITMVU],Overall,2023 Ranking,#65|  out of 69 in  |India 2023
578,ITM Vocational University - [ITMVU],Overall,2022 Ranking,-
578,ITM Vocational University - [ITMVU],Overall,2021 Ranking,#176|  out of 178 in  |India 2021|#8th in Gujarat
578,ITM Vocational University - [ITMVU],MBA,2023 Ranking,#254|  out of 272 in  |India 2023|#9th in Gujarat
578,ITM Vocational University - [ITMVU],MBA,2022 Ranking,#257|  out of 281 in  |India 2022|#8th in Gujarat
578,ITM Vocational University - [ITMVU],MBA,2021 Ranking,#261|  out of 268 in  |India 2021|#12th in Gujarat
578,ITM Vocational University - [ITMVU],BBA/BMS,2023 Ranking,-
578,ITM Vocational University - [ITMVU],BBA/BMS,2022 Ranking,-
578,ITM Vocational University - [ITMVU],BBA/BMS,2021 Ranking,#176|  out of 178 in  |India 2021|#7th in Gujarat
579,"Greater Noida Institute of Technology, IPU - [GNIT]",B.Tech,2022 Ranking,#138|  out of 216 in  |India 2022|#10th in Uttar Pradesh
580,Netaji Subhas University - [NSU],MBA,2023 Ranking,#237|  out of 272 in  |India 2023|#4th in Jharkhand
580,Netaji Subhas University - [NSU],MBA,2022 Ranking,#239|  out of 281 in  |India 2022|#6th in Jharkhand
580,Netaji Subhas University - [NSU],MBA,2021 Ranking,#228|  out of 268 in  |India 2021|#4th in Jharkhand
581,Greater Noida Institute of Technology (Engineering Institute),B.Tech,2022 Ranking,#112|  out of 190 in  |India 2022
581,Greater Noida Institute of Technology (Engineering Institute),B.Tech,2020 Ranking,-
581,Greater Noida Institute of Technology (Engineering Institute),Hotel Management,2022 Ranking,-
581,Greater Noida Institute of Technology (Engineering Institute),Hotel Management,2020 Ranking,#143|  out of 179 in  |India 2020|#16th in Uttar Pradesh
581,Greater Noida Institute of Technology (Engineering Institute),MBA,2022 Ranking,-
581,Greater Noida Institute of Technology (Engineering Institute),MBA,2020 Ranking,#123|  out of 159 in  |India 2020
582,Arunodaya University,Overall,2024 Ranking,#134|  out of 160 in  |India 2024
582,Arunodaya University,Overall,2023 Ranking,#139|  out of 171 in  |India 2023
582,Arunodaya University,Overall,2022 Ranking,#134|  out of 161 in  |India 2022
583,Shri Guru Ram Rai University - [SGRRU],Physiotherapy,2023 Ranking,#78|  out of 105 in  |India 2023|#5th in Uttarakhand
583,Shri Guru Ram Rai University - [SGRRU],Physiotherapy,2022 Ranking,#73|  out of 114 in  |India 2022|#5th in Uttarakhand
584,JSS Academy of Technical Education - [JSSATE],B.Tech,2024 Ranking,#68|  out of 245 in  |India 2024|#9th in Bangalore
584,JSS Academy of Technical Education - [JSSATE],B.Tech,2023 Ranking,#102|  out of 131 in  |India 2023|#9th in Bangalore
585,SDM College of Engineering and Technology - [SDMCET],Overall,2024 Ranking,-
